"repository","commit","parents","timestamp","literalFiles","sourceFiles"
"foreman","4e032babef7aa30e5d13d7a506abe208945a5dee","f4a3688d3beed8f8448b78583cd93985884cff23","2026-08-28 09:02:28 +08:00","foreman-assistant/src/app/layout/main/main.component.html;foreman-assistant/src/app/shared/toolbar/toolbar.component.html;foreman-assistant/src/main.ts","foreman-assistant/src/app/layout/main/main.component.html;foreman-assistant/src/app/shared/toolbar/toolbar.component.html;foreman-assistant/src/main.ts"
"foreman","f4a3688d3beed8f8448b78583cd93985884cff23","a06bfe22d34f7d446ffffa42e53123330505ebf8","2026-08-20 10:01:22 +08:00","foreman-assistant/src/app/layout/main/main.component.html;foreman-assistant/src/app/shared/toolbar/toolbar.component.html;foreman-assistant/src/main.ts","foreman-assistant/src/app/layout/main/main.component.html;foreman-assistant/src/app/shared/toolbar/toolbar.component.html;foreman-assistant/src/main.ts"
"foreman","a06bfe22d34f7d446ffffa42e53123330505ebf8","f68e59c5449e52eb01099a8c9307a98e3aac1750","2026-08-14 16:09:00 +08:00","",""
"foreman","f68e59c5449e52eb01099a8c9307a98e3aac1750","c4a2a99748e26264ca24e9d363ae7fec3e50a0b8","2026-07-30 12:29:16 +08:00","",""
"foreman","c4a2a99748e26264ca24e9d363ae7fec3e50a0b8","fcf1a4c46ea0a51cade1f51a4734e0b7ba097263","2026-05-27 10:46:47 +08:00","",""
"foreman","fcf1a4c46ea0a51cade1f51a4734e0b7ba097263","dba3978566dc24ce236b4366e447d87cd42fa028","2026-05-13 11:31:41 +08:00","",""
"foreman","dba3978566dc24ce236b4366e447d87cd42fa028","d5b7640277f33bd9f4fbc289bffe0104b4a9b4d9","2026-04-23 10:01:42 +08:00","",""
"foreman","d5b7640277f33bd9f4fbc289bffe0104b4a9b4d9","0f4001f7e77d319495d57c5a8f13e6fa4aa1aed8","2026-03-31 15:11:49 +08:00","",""
"foreman","0f4001f7e77d319495d57c5a8f13e6fa4aa1aed8","6eef9afa9e0d29deee2afea04de9e2cb51a8871b","2026-03-25 07:43:23 +08:00","",""
"foreman","6eef9afa9e0d29deee2afea04de9e2cb51a8871b","e202f9ed779e4ef56983d5762ccf8fee6b72aad3","2026-02-20 16:35:18 +08:00","",""
"foreman","e202f9ed779e4ef56983d5762ccf8fee6b72aad3","5a304d51dc15f1c359ab9cb6c0d50715728d7cd0","2026-01-23 16:12:14 +08:00","",""
"foreman","5a304d51dc15f1c359ab9cb6c0d50715728d7cd0","efa8a17327d5703b8dc74e50b826ca86cdd487c1","2026-01-19 08:50:08 +08:00","",""
"foreman","efa8a17327d5703b8dc74e50b826ca86cdd487c1","80de8c5014d675b7224f4ee4d6b5d279fea3fa34","2025-12-29 11:30:01 +08:00","",""
"foreman","80de8c5014d675b7224f4ee4d6b5d279fea3fa34","ae183e9ab5cb3a76a6d2fcce64e230f7a4ad7033","2025-12-26 08:02:00 +08:00","",""
"foreman","ae183e9ab5cb3a76a6d2fcce64e230f7a4ad7033","abcde46722ea29ae7ffface685dcb2b00b3bb837","2025-11-26 13:06:24 +08:00","",""
"foreman","abcde46722ea29ae7ffface685dcb2b00b3bb837","e088aa155a2ab6e2feacf8cdd2c5776fb3e1ed74","2025-11-24 08:31:53 +08:00","",""
"foreman","e088aa155a2ab6e2feacf8cdd2c5776fb3e1ed74","f17b2731944272d943693dd3e3d0bde0b631a13c","2025-11-07 13:42:40 +08:00","",""
"foreman","f17b2731944272d943693dd3e3d0bde0b631a13c","3008c337707a2543cc8af234a3b1d44e8d0a3d3e","2025-10-27 08:16:29 +08:00","",""
"foreman","3008c337707a2543cc8af234a3b1d44e8d0a3d3e","e97534703d0aff0257224fbbd1528df33895692a","2025-10-20 13:45:43 +08:00","",""
"foreman","e97534703d0aff0257224fbbd1528df33895692a","b8b36fc287f990be11547fda0c3d65e56f7fa8d3","2025-10-17 11:14:48 +08:00","",""
"foreman","b8b36fc287f990be11547fda0c3d65e56f7fa8d3","c75fb1d42e415b25e0fc08646fbbfcdbe3f7e9bd","2025-09-22 08:40:00 +08:00","",""
"foreman","c75fb1d42e415b25e0fc08646fbbfcdbe3f7e9bd","6e0b3ed5bc98b6dd1e5338177a9803d90436e7e8","2025-09-08 08:55:53 +08:00","",""
"foreman","6e0b3ed5bc98b6dd1e5338177a9803d90436e7e8","91861049b3c76acf1f75a5eebd165276cc90e800","2025-09-05 09:19:38 +08:00","",""
